frame_idx,time_s,elbow_angle,spine_lean,head_knee_dx,foot_angle,left_wrist_speed_px_per_s,right_wrist_speed_px_per_s,conf_elbow,conf_spine,conf_head_dx,conf_foot
1,0.0333,131.99,14.3,-0.0528,54.16,--,--,0.816,0.999,0.954,0.937
2,0.0667,153.43,16.26,-0.05,64.76,90.0,123.69,0.799,0.999,0.956,0.938
3,0.1,160.85,16.26,-0.0472,64.65,42.43,60.0,0.78,0.999,0.957,0.937
4,0.1333,159.29,16.59,-0.0444,73.5,60.0,30.0,0.767,0.999,0.957,0.937
5,0.1667,171.66,16.59,-0.0444,84.09,30.0,30.0,0.757,0.999,0.958,0.937
6,0.2,169.92,16.59,-0.0417,77.35,30.0,30.0,0.751,0.999,0.957,0.936
7,0.2333,175.62,16.26,-0.0417,75.96,0.0,30.0,0.751,0.999,0.958,0.936
8,0.2667,174.29,16.59,-0.0444,68.2,30.0,0.0,0.741,0.999,0.959,0.936
9,0.3,175.62,17.7,-0.0472,72.28,30.0,67.08,0.734,1.0,0.961,0.937
10,0.3333,177.79,17.7,-0.05,64.65,60.0,42.43,0.729,1.0,0.962,0.937
11,0.3667,177.9,17.35,-0.05,51.81,42.43,67.08,0.73,1.0,0.963,0.937
12,0.4,177.9,18.43,-0.0472,55.41,0.0,0.0,0.734,1.0,0.965,0.937
13,0.4333,176.51,19.13,-0.0472,74.74,42.43,30.0,0.747,1.0,0.966,0.938
14,0.4667,176.17,19.13,-0.0472,53.58,0.0,0.0,0.756,1.0,0.968,0.938
15,0.5,176.17,19.13,-0.05,53.58,0.0,30.0,0.76,1.0,0.97,0.938
16,0.5333,179.15,19.13,-0.0528,45.0,30.0,30.0,0.756,1.0,0.971,0.937
17,0.5667,177.55,19.13,-0.0556,59.04,30.0,67.08,0.753,1.0,0.972,0.938
18,0.6,177.55,19.13,-0.0583,61.86,0.0,30.0,0.746,1.0,0.973,0.939
19,0.6333,176.17,18.08,-0.0556,65.22,30.0,42.43,0.747,1.0,0.975,0.94
20,0.6667,175.82,18.43,-0.0556,74.74,0.0,30.0,0.75,1.0,0.976,0.94
21,0.7,171.67,18.43,-0.0528,52.36,30.0,60.0,0.746,1.0,0.977,0.938
22,0.7333,169.38,18.43,-0.0556,68.4,108.17,42.43,0.753,1.0,0.977,0.938
23,0.7667,162.65,18.8,-0.0528,58.36,30.0,30.0,0.763,1.0,0.976,0.936
24,0.8,159.44,18.8,-0.0528,67.62,30.0,108.17,0.767,1.0,0.976,0.937
25,0.8333,163.54,18.43,-0.0528,74.74,30.0,152.97,0.768,1.0,0.975,0.936
26,0.8667,157.13,18.43,-0.0556,71.57,42.43,30.0,0.765,1.0,0.975,0.936
27,0.9,155.22,18.43,-0.0556,74.74,0.0,60.0,0.77,1.0,0.975,0.937
28,0.9333,153.43,19.13,-0.0639,78.56,0.0,42.43,0.774,1.0,0.975,0.939
29,0.9667,153.43,20.56,-0.0639,78.11,0.0,30.0,0.786,1.0,0.976,0.941
30,1.0,147.77,20.56,-0.0639,74.74,0.0,90.0,0.797,1.0,0.977,0.944
31,1.0333,147.9,21.19,-0.0639,80.54,60.0,120.0,0.805,1.0,0.978,0.945
32,1.0667,144.46,20.56,-0.0639,80.54,30.0,60.0,0.812,1.0,0.978,0.946
33,1.1,141.22,22.44,-0.0639,80.54,0.0,0.0,0.815,1.0,0.978,0.948
34,1.1333,138.86,23.05,-0.0639,79.89,0.0,0.0,0.809,1.0,0.979,0.95
35,1.1667,126.09,24.08,-0.0639,90.0,90.0,42.43,0.793,1.0,0.98,0.952
36,1.2,134.29,22.44,-0.0667,95.19,30.0,0.0,0.776,1.0,0.981,0.952
37,1.2333,134.29,22.01,-0.0667,84.29,0.0,60.0,0.761,1.0,0.981,0.953
38,1.2667,120.26,22.01,-0.0694,86.99,67.08,0.0,0.749,1.0,0.98,0.953
39,1.3,122.87,22.44,-0.0722,94.11,42.43,60.0,0.742,1.0,0.98,0.954
40,1.3333,125.95,23.5,-0.075,86.99,0.0,42.43,0.734,1.0,0.98,0.955
41,1.3667,117.78,23.5,-0.0722,85.6,30.0,30.0,0.727,1.0,0.98,0.957
42,1.4,138.95,22.89,-0.0722,90.0,123.69,67.08,0.704,1.0,0.98,0.958
43,1.4333,141.25,23.63,-0.0778,91.15,30.0,180.0,0.68,1.0,0.979,0.958
44,1.4667,98.7,22.62,-0.0722,93.18,60.0,216.33,0.697,1.0,0.979,0.959
45,1.5,94.11,20.56,-0.0722,63.95,0.0,60.0,0.694,1.0,0.977,0.958
46,1.5333,80.54,19.18,-0.0667,74.74,90.0,67.08,0.688,1.0,0.976,0.957
47,1.5667,77.66,17.35,-0.0639,64.44,60.0,123.69,0.676,1.0,0.975,0.956
48,1.6,72.03,15.78,-0.0583,83.26,30.0,60.0,0.677,0.999,0.967,0.951
49,1.6333,69.86,16.93,-0.0611,76.83,189.74,42.43,0.7,0.999,0.967,0.949
50,1.6667,74.55,16.93,-0.0611,88.49,30.0,67.08,0.716,0.999,0.965,0.946
51,1.7,73.3,14.62,-0.0611,90.0,42.43,42.43,0.727,0.999,0.963,0.942
52,1.7333,66.99,14.32,-0.0611,86.05,90.0,60.0,0.722,0.999,0.961,0.938
53,1.7667,66.64,12.91,-0.0639,97.24,84.85,180.0,0.725,0.999,0.96,0.938
54,1.8,64.0,11.77,-0.0639,95.44,30.0,42.43,0.735,0.999,0.959,0.936
55,1.8333,68.84,12.01,-0.0667,93.18,30.0,60.0,0.746,0.999,0.954,0.931
56,1.8667,69.44,10.84,-0.0694,97.24,30.0,67.08,0.757,0.999,0.951,0.928
57,1.9,65.7,12.01,-0.0667,100.52,42.43,30.0,0.775,0.999,0.952,0.927
58,1.9333,64.18,12.01,-0.0694,96.99,0.0,67.08,0.791,0.999,0.952,0.927
59,1.9667,67.25,13.45,-0.0694,79.13,94.87,90.0,0.8,0.999,0.947,0.923
